device=cpu
step=270 max_u=1.0000e+00 c_mean=2.1459e+01 c_y=6.9590e+00 c_m=1.4500e+01 g_mean=5.7010e+00 p_mean=0.5249 tgf_mean=1.0000 chemo_mean=0.0161 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9198 ac_align_x=0.9662 model=linear
step=280 max_u=1.0000e+00 c_mean=2.2076e+01 c_y=6.9761e+00 c_m=1.5100e+01 g_mean=6.0783e+00 p_mean=0.5249 tgf_mean=1.0000 chemo_mean=0.0160 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9256 ac_align_x=0.9694 model=linear
step=290 max_u=1.0000e+00 c_mean=2.2668e+01 c_y=6.9762e+00 c_m=1.5692e+01 g_mean=6.4639e+00 p_mean=0.5248 tgf_mean=1.0000 chemo_mean=0.0158 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9750 a_align_x=0.9314 ac_align_x=0.9719 model=linear
step=300 max_u=1.0000e+00 c_mean=2.3239e+01 c_y=6.9659e+00 c_m=1.6273e+01 g_mean=6.8571e+00 p_mean=0.5248 tgf_mean=1.0000 chemo_mean=0.0157 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9367 ac_align_x=0.9748 model=linear
step=310 max_u=1.0000e+00 c_mean=2.3810e+01 c_y=6.9661e+00 c_m=1.6844e+01 g_mean=7.2578e+00 p_mean=0.5247 tgf_mean=1.0000 chemo_mean=0.0155 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9409 ac_align_x=0.9776 model=linear
step=320 max_u=1.0000e+00 c_mean=2.4375e+01 c_y=6.9687e+00 c_m=1.7407e+01 g_mean=7.6658e+00 p_mean=0.5247 tgf_mean=1.0000 chemo_mean=0.0153 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9447 ac_align_x=0.9802 model=linear
step=330 max_u=1.0000e+00 c_mean=2.4939e+01 c_y=6.9783e+00 c_m=1.7961e+01 g_mean=8.0810e+00 p_mean=0.5246 tgf_mean=1.0000 chemo_mean=0.0151 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9476 ac_align_x=0.9824 model=linear
step=340 max_u=1.0000e+00 c_mean=2.5502e+01 c_y=6.9946e+00 c_m=1.8508e+01 g_mean=8.5033e+00 p_mean=0.5246 tgf_mean=1.0000 chemo_mean=0.0149 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.9503 ac_align_x=0.9843 model=linear
step=350 max_u=1.0000e+00 c_mean=2.6057e+01 c_y=7.0086e+00 c_m=1.9048e+01 g_mean=8.9325e+00 p_mean=0.5245 tgf_mean=1.0000 chemo_mean=0.0147 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9528 ac_align_x=0.9858 model=linear
step=360 max_u=1.0000e+00 c_mean=2.6597e+01 c_y=7.0163e+00 c_m=1.9581e+01 g_mean=9.3683e+00 p_mean=0.5244 tgf_mean=1.0000 chemo_mean=0.0144 smad_mean=0.7787 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9555 ac_align_x=0.9870 model=linear
step=370 max_u=1.0000e+00 c_mean=2.7118e+01 c_y=7.0126e+00 c_m=2.0105e+01 g_mean=9.8103e+00 p_mean=0.5244 tgf_mean=1.0000 chemo_mean=0.0142 smad_mean=0.7787 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9593 ac_align_x=0.9880 model=linear
step=380 max_u=1.0000e+00 c_mean=2.7622e+01 c_y=7.0006e+00 c_m=2.0621e+01 g_mean=1.0258e+01 p_mean=0.5243 tgf_mean=1.0000 chemo_mean=0.0140 smad_mean=0.7787 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.9628 ac_align_x=0.9889 model=linear
step=390 max_u=1.0000e+00 c_mean=2.8117e+01 c_y=6.9899e+00 c_m=2.1127e+01 g_mean=1.0711e+01 p_mean=0.5243 tgf_mean=1.0000 chemo_mean=0.0139 smad_mean=0.7786 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9662 ac_align_x=0.9896 model=linear
step=400 max_u=1.0000e+00 c_mean=2.8592e+01 c_y=6.9694e+00 c_m=2.1623e+01 g_mean=1.1170e+01 p_mean=0.5243 tgf_mean=1.0000 chemo_mean=0.0137 smad_mean=0.7786 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9692 ac_align_x=0.9902 model=linear
step=410 max_u=1.0000e+00 c_mean=2.9066e+01 c_y=6.9565e+00 c_m=2.2109e+01 g_mean=1.1633e+01 p_mean=0.5242 tgf_mean=1.0000 chemo_mean=0.0136 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.9721 ac_align_x=0.9906 model=linear
step=420 max_u=1.0000e+00 c_mean=2.9527e+01 c_y=6.9412e+00 c_m=2.2586e+01 g_mean=1.2101e+01 p_mean=0.5242 tgf_mean=1.0000 chemo_mean=0.0135 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9747 ac_align_x=0.9910 model=linear
step=430 max_u=1.0000e+00 c_mean=2.9989e+01 c_y=6.9352e+00 c_m=2.3054e+01 g_mean=1.2574e+01 p_mean=0.5242 tgf_mean=1.0000 chemo_mean=0.0134 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9772 ac_align_x=0.9914 model=linear
step=440 max_u=1.0000e+00 c_mean=3.0460e+01 c_y=6.9453e+00 c_m=2.3514e+01 g_mean=1.3051e+01 p_mean=0.5242 tgf_mean=1.0000 chemo_mean=0.0132 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.9796 ac_align_x=0.9916 model=linear
step=450 max_u=1.0000e+00 c_mean=3.0928e+01 c_y=6.9595e+00 c_m=2.3969e+01 g_mean=1.3532e+01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0131 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9817 ac_align_x=0.9919 model=linear
step=460 max_u=1.0000e+00 c_mean=3.1401e+01 c_y=6.9830e+00 c_m=2.4418e+01 g_mean=1.4019e+01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0130 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9834 ac_align_x=0.9920 model=linear
step=470 max_u=1.0000e+00 c_mean=3.1876e+01 c_y=7.0125e+00 c_m=2.4864e+01 g_mean=1.4509e+01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0130 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9850 ac_align_x=0.9922 model=linear
step=480 max_u=1.0000e+00 c_mean=3.2344e+01 c_y=7.0378e+00 c_m=2.5306e+01 g_mean=1.5005e+01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0129 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9863 ac_align_x=0.9923 model=linear
step=490 max_u=1.0000e+00 c_mean=3.2800e+01 c_y=7.0568e+00 c_m=2.5743e+01 g_mean=1.5504e+01 p_mean=0.5241 tgf_mean=1.0000 chemo_mean=0.0128 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9874 ac_align_x=0.9924 model=linear
step=500 max_u=1.0000e+00 c_mean=3.3241e+01 c_y=7.0650e+00 c_m=2.6176e+01 g_mean=1.6008e+01 p_mean=0.5240 tgf_mean=1.0000 chemo_mean=0.0127 smad_mean=0.7786 erk_mean=0.5667 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9884 ac_align_x=0.9925 model=linear
step=510 max_u=1.0000e+00 c_mean=3.3671e+01 c_y=7.0690e+00 c_m=2.6602e+01 g_mean=1.6515e+01 p_mean=0.5240 tgf_mean=1.0000 chemo_mean=0.0126 smad_mean=0.7786 erk_mean=0.5666 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9892 ac_align_x=0.9925 model=linear
animation_mp4=False
animation_gif=True
